name,ring,quadrant,isNew,description
Logback for SLF4J,Adopt,languages-and-frameworks,FALSE,"<p><strong><a href=""http://logback.qos.ch/"">Logback</a></strong>, our logging framework for java applications.</p>"
Log4j2 for SLF4J,Adopt,languages-and-frameworks,FALSE,"<p><strong><a href=""https://logging.apache.org/log4j/2.x/"">Log4j2</a></strong>, our alternate logging framework for java applications.</p>"
GoLang,Trial,languages-and-frameworks,FALSE,"<p><strong><a href=""https://golang.org/"">Golang</a></strong> is an open source programming language that makes it easy to build simple, reliable, and efficient software. Its concurrency mechanisms make it easy to write programs that get the most out of multicore and networked machines, while its novel type system enables flexible and modular program construction. Go compiles quickly to machine code yet has the convenience of garbage collection and the power of run-time reflection. It's a fast, statically typed, compiled language that feels like a dynamically typed, interpreted language.</p>"
Flyway,Trial,languages-and-frameworks,FALSE,"<p><strong><a href=""https://flywaydb.org/"">Flyway</a></strong> is an open-source tool helps in implementing automated and version-based database migrations. It allows us to define the required update operations in an SQL script or as Java code and can be run from a command line client or automatically as part of build process or integrated into our Java application.</p>"
Pistacheio,Trial,languages-and-frameworks,FALSE,"<p><strong><a href=""https://github.com/pistacheio/pistache"">Pistacheio</a></strong> is for applying HTTP and REST layer on alredy existing C/C++ application. This allows us to gradually migrate/modernize our products heavily using C/C++.</p>"
Micrometer,Trial,languages-and-frameworks,FALSE,"<p><strong><a href=""https://micrometer.io/"">Micrometer</a></strong> is a vendor neutral metric facade for our JVM based applications.</p>"
Kryo,Trial,languages-and-frameworks,FALSE,"<p><strong><a href=""https://github.com/EsotericSoftware/kryo"">Kryo</a></strong> our binary object serialization framework for Java based applications.</p>"
OpenMetrics,Assess,languages-and-frameworks,FALSE,"<p><strong><a href=""https://openmetrics.io/"">OpenMetrics</a></strong> is the de-facto standard for transmitting metrics and we want to evaluate its usage in our distributed applications.</p>"
.NET/C#,Assess,languages-and-frameworks,FALSE,"<p><strong><a href=""https://dotnet.microsoft.com/learn/dotnet/what-is-dotnet"">.Net</a></strong> is a free, cross-platform, open source developer platform for building many different types of applications. With <strong><a href=""https://dotnet.microsoft.com/learn/dotnet/what-is-dotnet"">.Net</a></strong>, you can use multiple languages, editors, and libraries to build for web, mobile, desktop, games, and IoT. We envision to write <strong><a href=""https://dotnet.microsoft.com/learn/dotnet/what-is-dotnet"">.Net</a></strong> apps in <strong><a href=""https://en.wikipedia.org/wiki/C_Sharp_(programming_language)"">C#</a></strong> which is a simple, modern, object-oriented, and type-safe programming language.</p>"
VueJS,Assess,languages-and-frameworks,FALSE,"<p><strong><a href=""https://vuejs.org/"">Vue.js</a></strong> is an open-source model–view–viewmodel front end JavaScript framework for building user interfaces and single-page applications.</p>"
Python,Assess,languages-and-frameworks,FALSE,"<p><strong><a href=""https://www.python.org/about/"">Python</a></strong> to be used as preferred language for MachineLearning as the availability of libraries and open source tools make it ideal choice for developing ML models.</p>"
Bitronix,Assess,languages-and-frameworks,FALSE,"<p><strong><a href=""https://github.com/bitronix/btm"">Bitronix</a></strong> our XA transaction manager as an implementation of JTA 1.1 API.</p>"
Nitro,Assess,languages-and-frameworks,FALSE,"<p><strong><a href=""https://github.com/asim/nitro"">Nitro</a></strong> is a promising framework for distributed cloud-native application development in GoLang.</p>"
Gizmo,Assess,languages-and-frameworks,FALSE,"<p><strong><a href=""https://github.com/nytimes/gizmo"">Gizmo</a></strong> is another promising framework for developing microservices in GoLang.</p>"
Microprofile,Assess,languages-and-frameworks,FALSE,"<p><strong><a href=""https://projects.eclipse.org/projects/technology.microprofile"">Microprofile</a></strong> is a promising framework for migrating enterprise java applications towards microservices as well as adding new features and capabilities required in migrated cloud native applications.</p>"
Knative,Assess,languages-and-frameworks,FALSE,"<p><strong><a href=""https://github.com/knative/docs/"">Knative</a></strong> is one of serverless orchestration framework intented to be used for developing applications with serverless architectures.</p>"
OpenFaas,Assess,languages-and-frameworks,FALSE,"<p><strong><a href=""https://www.openfaas.com/"">OpenFaas</a></strong> is one of serverless framework intented to be used for developing applications with serverless architectures.</p>"
Kubeless,Assess,languages-and-frameworks,FALSE,"<p><strong><a href=""https://kubeless.io/"">Kubeless</a></strong> is one of serverless framework intented to be used for developing applications with serverless architectures.</p>"
Kotlin,Assess,languages-and-frameworks,FALSE,"<p><strong><a href=""https://kotlinlang.org/"">Kotlin</a></strong> is one promising alternative for Java based programming and we want to assess its usage possibility.</p>"
C/C++,Hold,languages-and-frameworks,FALSE,"<p><strong><a href=""https://en.wikipedia.org/wiki/C%2B%2B"">C/C++</a></strong> to be used for performance critical applications.</p>"
Thorntail,Hold,languages-and-frameworks,FALSE,"<p><strong><a href=""https://thorntail.io/"">Thorntail</a></strong> has been declared to be at end of life and recommendation is to use <a href=""https://quarkus.io/"">Quarkus</a> or <a href=""https://www.wildfly.org/"">Wildfly</a> instead.</p>"
Prometheus SDK,Hold,languages-and-frameworks,FALSE,"<p><strong><a href=""https://prometheus.io/docs/instrumenting/clientlibs/"">Prometheus SDK</a></strong> allows adding instrumentation to our code. From application metrics collection point-of-view, we prefer being vendor neutral.</p>"
Hystrix,Hold,languages-and-frameworks,FALSE,"<p><strong><a href=""https://github.com/Netflix/Hystrix"">Hytrix</a></strong> has been put into maintenance mode and is no longer actively maintained.</p>"
